medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Cefister O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefisys O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefit OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitac-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitaxe O 200 mg/200 mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitica-OF Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitoss OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitox-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitrue O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitrust-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefitus O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefivap OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefivec-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefivin O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefivir-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
